Name,Type,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed
Simisage,GRASS,498,75,98,63,98,63,101
Pansear,FIRE,316,50,53,48,53,48,64
Simisear,FIRE,498,75,98,63,98,63,101
Panpour,WATER,316,50,53,48,53,48,64
Simipour,WATER,498,75,98,63,98,63,101
Munna,PSYCHIC,292,76,25,45,67,55,24
Musharna,PSYCHIC,487,116,55,85,107,95,29
Pidove,NORMAL,264,50,55,50,36,30,43
Tranquill,NORMAL,358,62,77,62,50,42,65
Unfezant,NORMAL,478,80,105,80,65,55,93
Blitzle,ELECTRIC,295,45,60,32,50,32,76
Zebstrika,ELECTRIC,497,75,100,63,80,63,116
Roggenrola,ROCK,280,55,75,85,25,25,15
Boldore,ROCK,390,70,105,105,50,40,20
Gigalith,ROCK,505,85,135,130,60,70,25
Woobat,PSYCHIC,313,55,45,43,55,43,72
Swoobat,PSYCHIC,425,67,57,55,77,55,114
Drilbur,GROUND,328,60,85,40,30,45,68
Excadrill,GROUND,508,110,135,60,50,65,88
Audino,NORMAL,445,103,60,86,60,86,50
Timburr,FIGHTING,305,75,80,55,25,35,35
Gurdurr,FIGHTING,405,85,105,85,40,50,40
Conkeldurr,FIGHTING,505,105,140,95,55,65,45
Tympole,WATER,294,50,50,40,50,40,64
Palpitoad,WATER,384,75,65,55,65,55,69
Seismitoad,WATER,499,105,85,75,85,75,74
Throh,FIGHTING,465,120,100,85,30,85,45
Sawk,FIGHTING,465,75,125,75,30,75,85
Sewaddle,BUG,310,45,53,70,40,60,42
Swadloon,BUG,380,55,63,90,50,80,42
Leavanny,BUG,490,75,103,80,70,70,92
Venipede,BUG,260,30,45,59,30,39,57
Whirlipede,BUG,360,40,55,99,40,79,47
Scolipede,BUG,475,60,90,89,55,69,112
Cottonee,GRASS,280,40,27,60,37,50,66
Whimsicott,GRASS,480,60,67,85,77,75,116
Petilil,GRASS,280,45,35,50,70,50,30
Lilligant,GRASS,480,70,60,75,110,75,90
Basculin,WATER,460,70,92,65,80,55,98
Sandile,GROUND,292,50,72,35,35,35,65
Krokorok,GROUND,351,60,82,45,45,45,74
Krookodile,GROUND,509,95,117,70,65,70,92
Darumaka,FIRE,315,70,90,45,15,45,50
Darmanitan- Standard Mode,FIRE,480,105,140,55,30,55,95
Darmanitan- Zen Mode,FIRE,540,105,30,105,140,105,55
Maractus,GRASS,461,75,86,67,106,67,60
Dwebble,BUG,325,50,65,85,35,35,55
Crustle,BUG,475,70,95,125,65,75,45
Scraggy,DARK,348,50,75,70,35,70,48
Scrafty,DARK,488,65,90,115,45,115,58
Sigilyph,PSYCHIC,490,72,58,80,103,80,97
Yamask,GHOST,303,38,30,85,55,65,30
Cofagrigus,GHOST,483,58,50,145,95,105,30
Tirtouga,WATER,355,54,78,103,53,45,22
Carracosta,WATER,495,74,108,133,83,65,32
Archen,ROCK,401,55,112,45,74,45,70
Archeops,ROCK,567,75,140,65,112,65,110
Trubbish,POISON,329,50,50,62,40,62,65
Garbodor,POISON,474,80,95,82,60,82,75
Zorua,DARK,330,40,65,40,80,40,65
Zoroark,DARK,510,60,105,60,120,60,105
Minccino,NORMAL,300,55,50,40,40,40,75
Cinccino,NORMAL,470,75,95,60,65,60,115
Gothita,PSYCHIC,290,45,30,50,55,65,45
Gothorita,PSYCHIC,390,60,45,70,75,85,55
Gothitelle,PSYCHIC,490,70,55,95,95,110,65
Solosis,PSYCHIC,290,45,30,40,105,50,20
Duosion,PSYCHIC,370,65,40,50,125,60,30
Reuniclus,PSYCHIC,490,110,65,75,125,85,30
Ducklett,WATER,305,62,44,50,44,50,55
Swanna,WATER,473,75,87,63,87,63,98
Vanillite,ICE,305,36,50,50,65,60,44
Vanillish,ICE,395,51,65,65,80,75,59
Vanilluxe,ICE,535,71,95,85,110,95,79
Deerling,NORMAL,335,60,60,50,40,50,75
Sawsbuck,NORMAL,475,80,100,70,60,70,95
Emolga,ELECTRIC,428,55,75,60,75,60,103
Karrablast,BUG,315,50,75,45,40,45,60
Escavalier,BUG,495,70,135,105,60,105,20
Foongus,GRASS,294,69,55,45,55,55,15
Amoonguss,GRASS,464,114,85,70,85,80,30
Frillish,WATER,335,55,40,50,65,85,40
Jellicent,WATER,480,100,60,70,85,105,60
Alomomola,WATER,470,165,75,80,40,45,65
Joltik,BUG,319,50,47,50,57,50,65
Galvantula,BUG,472,70,77,60,97,60,108
Ferroseed,GRASS,305,44,50,91,24,86,10
Ferrothorn,GRASS,489,74,94,131,54,116,20
Klink,STEEL,300,40,55,70,45,60,30
Klang,STEEL,440,60,80,95,70,85,50
Klinklang,STEEL,520,60,100,115,70,85,90
Tynamo,ELECTRIC,275,35,55,40,45,40,60
Eelektrik,ELECTRIC,405,65,85,70,75,70,40
Eelektross,ELECTRIC,515,85,115,80,105,80,50
Elgyem,PSYCHIC,335,55,55,55,85,55,30
Beheeyem,PSYCHIC,485,75,75,75,125,95,40
Litwick,GHOST,275,50,30,55,65,55,20
Lampent,GHOST,370,60,40,60,95,60,55
Chandelure,GHOST,520,60,55,90,145,90,80
Axew,DRAGON,320,46,87,60,30,40,57
Fraxure,DRAGON,410,66,117,70,40,50,67
Haxorus,DRAGON,540,76,147,90,60,70,97
Cubchoo,ICE,305,55,70,40,60,40,40
Beartic,ICE,485,95,110,80,70,80,50
Cryogonal,ICE,485,70,50,30,95,135,105
Shelmet,BUG,305,50,40,85,40,65,25
Accelgor,BUG,495,80,70,40,100,60,145
Stunfisk,ELECTRIC,471,109,66,84,81,99,32
Mienfoo,FIGHTING,350,45,85,50,55,50,65
Mienshao,FIGHTING,510,65,125,60,95,60,105
Druddigon,DRAGON,485,77,120,90,60,90,48
Golett,GROUND,303,59,74,50,35,50,35
Golurk,GROUND,483,89,124,80,55,80,55
Pawniard,DARK,340,45,85,70,40,40,60
Bisharp,DARK,490,65,125,100,60,70,70
Bouffalant,NORMAL,490,95,110,95,40,95,55
Rufflet,NORMAL,350,70,83,50,37,50,60
Braviary,NORMAL,510,100,123,75,57,75,80
Vullaby,DARK,370,70,55,75,45,65,60
Mandibuzz,DARK,510,110,65,105,55,95,80
Heatmor,FIRE,484,85,97,66,105,66,65
Durant,BUG,484,58,109,112,48,48,109
Deino,DARK,300,52,65,50,45,50,38
Zweilous,DARK,420,72,85,70,65,70,58
Hydreigon,DARK,600,92,105,90,125,90,98
Larvesta,BUG,360,55,85,55,50,55,60
Volcarona,BUG,550,85,60,65,135,105,100
Cobalion,STEEL,580,91,90,129,90,72,108
Terrakion,ROCK,580,91,129,90,72,90,108
Virizion,GRASS,580,91,90,72,90,129,108
Tornadus- Incarnate Forme,FLYING,580,79,115,70,125,80,111
Tornadus- Therian Forme,FLYING,580,79,100,80,110,90,121
Thundurus- Incarnate Forme,ELECTRIC,580,79,115,70,125,80,111
Thundurus- Therian Forme,ELECTRIC,580,79,105,70,145,80,101
Reshiram,DRAGON,680,100,120,100,150,120,90
Zekrom,DRAGON,680,100,150,120,120,100,90
Landorus- Incarnate Forme,GROUND,600,89,125,90,115,80,101
Landorus- Therian Forme,GROUND,600,89,145,90,105,80,91
Kyurem,DRAGON,660,125,130,90,130,90,95
White Kyurem,DRAGON,700,125,120,90,170,100,95
Black Kyurem,DRAGON,700,125,170,100,120,90,95
Keldeo- Ordinary Forme,WATER,580,91,72,90,129,90,108
Keldeo- Resolute Forme,WATER,580,91,72,90,129,90,108
Meloetta- Aria Forme,NORMAL,600,100,77,77,128,128,90
Meloetta- Pirouette Forme,NORMAL,600,100,128,90,77,77,128
Genesect,BUG,600,71,120,95,120,95,99
Chespin,GRASS,313,56,61,65,48,45,38
Quilladin,GRASS,405,61,78,95,56,58,57
Chesnaught,GRASS,530,88,107,122,74,75,64
Fennekin,FIRE,307,40,45,40,62,60,60
Braixen,FIRE,409,59,59,58,90,70,73
Delphox,FIRE,534,75,69,72,114,100,104
Froakie,WATER,314,41,56,40,62,44,71
Frogadier,WATER,405,54,63,52,83,56,97
Greninja,WATER,530,72,95,67,103,71,122
Bunnelby,NORMAL,237,38,36,38,32,36,57
Diggersby,NORMAL,423,85,56,77,50,77,78
Fletchling,NORMAL,278,45,50,43,40,38,62
Fletchinder,FIRE,382,62,73,55,56,52,84
Talonflame,FIRE,499,78,81,71,74,69,126
Scatterbug,BUG,200,38,35,40,27,25,35
Spewpa,BUG,213,45,22,60,27,30,29
Vivillon,BUG,411,80,52,50,90,50,89
Litleo,FIRE,369,62,50,58,73,54,72
Pyroar,FIRE,507,86,68,72,109,66,106
Flabébé,FAIRY,303,44,38,39,61,79,42
Floette,FAIRY,371,54,45,47,75,98,52
Florges,FAIRY,552,78,65,68,112,154,75
Skiddo,GRASS,350,66,65,48,62,57,52
Gogoat,GRASS,531,123,100,62,97,81,68
Pancham,FIGHTING,348,67,82,62,46,48,43
Pangoro,FIGHTING,495,95,124,78,69,71,58
Furfrou,NORMAL,472,75,80,60,65,90,102
Espurr,PSYCHIC,355,62,48,54,63,60,68
Meowstic,PSYCHIC,466,74,48,76,83,81,104
Honedge,STEEL,325,45,80,100,35,37,28
Doublade,STEEL,448,59,110,150,45,49,35
Aegislash- Blade Forme,STEEL,520,60,150,50,150,50,60
Aegislash- Shield Forme,STEEL,520,60,50,150,50,150,60
Spritzee,FAIRY,341,78,52,60,63,65,23
Aromatisse,FAIRY,462,101,72,72,99,89,29
Swirlix,FAIRY,341,62,48,66,59,57,49
Slurpuff,FAIRY,480,82,80,86,85,75,72
Inkay,DARK,288,53,54,53,37,46,45
Malamar,DARK,482,86,92,88,68,75,73
Binacle,ROCK,306,42,52,67,39,56,50
Barbaracle,ROCK,500,72,105,115,54,86,68
Skrelp,POISON,320,50,60,60,60,60,30
Dragalge,POISON,494,65,75,90,97,123,44
Clauncher,WATER,330,50,53,62,58,63,44
Clawitzer,WATER,500,71,73,88,120,89,59
Helioptile,ELECTRIC,289,44,38,33,61,43,70
Heliolisk,ELECTRIC,481,62,55,52,109,94,109
Tyrunt,ROCK,362,58,89,77,45,45,48
Tyrantrum,ROCK,521,82,121,119,69,59,71
Amaura,ROCK,362,77,59,50,67,63,46
Aurorus,ROCK,521,123,77,72,99,92,58
Sylveon,FAIRY,525,95,65,65,110,130,60
Hawlucha,FIGHTING,500,78,92,75,74,63,118
Dedenne,ELECTRIC,431,67,58,57,81,67,101
Carbink,ROCK,500,50,50,150,50,150,50
Goomy,DRAGON,300,45,50,35,55,75,40
Sliggoo,DRAGON,452,68,75,53,83,113,60
Goodra,DRAGON,600,90,100,70,110,150,80
Klefki,STEEL,470,57,80,91,80,87,75
Phantump,GHOST,309,43,70,48,50,60,38
Trevenant,GHOST,474,85,110,76,65,82,56
Pumpkaboo- Average Size,GHOST,335,49,66,70,44,55,51
Pumpkaboo- Small Size,GHOST,335,44,66,70,44,55,56
Pumpkaboo- Large Size,GHOST,335,54,66,70,44,55,46
Pumpkaboo- Super Size,GHOST,335,59,66,70,44,55,41
Gourgeist- Average Size,GHOST,494,65,90,122,58,75,84
Gourgeist- Small Size,GHOST,494,55,85,122,58,75,99
Gourgeist- Large Size,GHOST,494,75,95,122,58,75,69
Gourgeist-Super Size,GHOST,494,85,100,122,58,75,54
Bergmite,ICE,304,55,69,85,32,35,28
Avalugg,ICE,514,95,117,184,44,46,28
Noibat,FLYING,245,40,30,35,45,40,55
Noivern,FLYING,535,85,70,80,97,80,123
Xerneas,FAIRY,680,126,131,95,131,98,99
Yveltal,DARK,680,126,131,95,131,98,99
Zygarde,DRAGON,600,108,100,121,81,95,95
